Transformers version: 4.29.2
Accelerate version: 0.19.0
PEFT version: 0.3.0
dict_keys(['train', 'validation'])
trainable params: 85876325 || all params: 85876325 || trainable%: 100.00
trainable params: 745162 || all params: 86543818 || trainable%: 0.86
{'loss': 4.4227, 'learning_rate': 0.0009999954941610767, 'epoch': 0.07}
{'loss': 0.7216, 'learning_rate': 0.0009892204218340866, 'epoch': 3.31}
{'loss': 0.7128, 'learning_rate': 0.0009887776194738432, 'epoch': 3.38}
{'loss': 0.7313, 'learning_rate': 0.000988326007700709, 'epoch': 3.45}
{'loss': 0.6914, 'learning_rate': 0.0009878655946542443, 'epoch': 3.51}
{'loss': 0.6847, 'learning_rate': 0.0009873963886326365, 'epoch': 3.58}
{'loss': 0.7044, 'learning_rate': 0.000986918398092553, 'epoch': 3.65}
{'loss': 0.686, 'learning_rate': 0.0009864316316489873, 'epoch': 3.72}
{'loss': 0.6981, 'learning_rate': 0.0009859860457000558, 'epoch': 3.78}
{'loss': 0.6632, 'learning_rate': 0.0009854826293405439, 'epoch': 3.85}
{'loss': 0.6632, 'learning_rate': 0.0009849704629549204, 'epoch': 3.92}
{'loss': 0.6886, 'learning_rate': 0.0009844495557741427, 'epoch': 3.99}
{'eval_loss': 0.3955686390399933, 'eval_accuracy': 0.8908514851485149, 'eval_runtime': 188.3112, 'eval_samples_per_second': 134.087, 'eval_steps_per_second': 1.051, 'epoch': 4.0}
{'loss': 0.6655, 'learning_rate': 0.000983919917186706, 'epoch': 4.05}
{'loss': 0.6562, 'learning_rate': 0.0009833815567384747, 'epoch': 4.12}
{'loss': 0.6329, 'learning_rate': 0.0009828344841325111, 'epoch': 4.19}
{'loss': 0.6357, 'learning_rate': 0.000982278709228899, 'epoch': 4.26}
{'loss': 0.6724, 'learning_rate': 0.0009817142420445674, 'epoch': 4.32}
{'loss': 0.6516, 'learning_rate': 0.0009811410927531093, 'epoch': 4.39}
{'loss': 0.6389, 'learning_rate': 0.0009805592716845978, 'epoch': 4.46}
{'loss': 0.6501, 'learning_rate': 0.0009799687893254012, 'epoch': 4.53}
{'loss': 0.6298, 'learning_rate': 0.0009793696563179931, 'epoch': 4.59}
{'loss': 0.6402, 'learning_rate': 0.0009787618834607606, 'epoch': 4.66}
{'loss': 0.6245, 'learning_rate': 0.0009781454817078103, 'epoch': 4.73}
{'loss': 0.6389, 'learning_rate': 0.0009775204621687704, 'epoch': 4.8}
{'loss': 0.6744, 'learning_rate': 0.00097688683610859, 'epoch': 4.86}
{'loss': 0.6725, 'learning_rate': 0.0009762446149473374, 'epoch': 4.93}
{'loss': 0.6346, 'learning_rate': 0.0009755938102599925, 'epoch': 5.0}
{'eval_loss': 0.38108405470848083, 'eval_accuracy': 0.8955643564356436, 'eval_runtime': 191.788, 'eval_samples_per_second': 131.656, 'eval_steps_per_second': 1.032, 'epoch': 5.0}
{'loss': 0.63, 'learning_rate': 0.0009749344337762401, 'epoch': 5.07}
{'loss': 0.6156, 'learning_rate': 0.0009742664973802567, 'epoch': 5.14}
{'loss': 0.6392, 'learning_rate': 0.0009735900131104978, 'epoch': 5.2}
{'loss': 0.623, 'learning_rate': 0.0009729049931594801, 'epoch': 5.27}
{'loss': 0.6204, 'learning_rate': 0.0009722114498735616, 'epoch': 5.34}
{'loss': 0.6408, 'learning_rate': 0.0009715093957527199, 'epoch': 5.41}
{'loss': 0.587, 'learning_rate': 0.0009707988434503259, 'epoch': 5.47}
{'loss': 0.5981, 'learning_rate': 0.0009700798057729166, 'epoch': 5.54}
{'loss': 0.6024, 'learning_rate': 0.0009693522956799636, 'epoch': 5.61}
{'loss': 0.6134, 'learning_rate': 0.0009686163262836403, 'epoch': 5.68}
{'loss': 0.6268, 'learning_rate': 0.0009678719108485851, 'epoch': 5.74}
{'loss': 0.6149, 'learning_rate': 0.0009671190627916617, 'epoch': 5.81}
{'loss': 0.605, 'learning_rate': 0.0009663577956817187, 'epoch': 5.88}
{'loss': 0.6272, 'learning_rate': 0.0009655881232393439, 'epoch': 5.95}
{'eval_loss': 0.3667474389076233, 'eval_accuracy': 0.8965940594059406, 'eval_runtime': 180.8565, 'eval_samples_per_second': 139.613, 'eval_steps_per_second': 1.095, 'epoch': 6.0}
{'loss': 0.5987, 'learning_rate': 0.0009648100593366178, 'epoch': 6.01}
{'loss': 0.5529, 'learning_rate': 0.0009640236179968624, 'epoch': 6.08}
{'loss': 0.6092, 'learning_rate': 0.0009632288133943899, 'epoch': 6.15}
{'loss': 0.5926, 'learning_rate': 0.0009624256598542465, 'epoch': 6.22}
{'loss': 0.5843, 'learning_rate': 0.0009616141718519538, 'epoch': 6.28}
{'loss': 0.6145, 'learning_rate': 0.0009607943640132491, 'epoch': 6.35}
{'loss': 0.5554, 'learning_rate': 0.0009599662511138204, 'epoch': 6.42}
{'loss': 0.593, 'learning_rate': 0.0009591298480790411, 'epoch': 6.49}
{'loss': 0.6108, 'learning_rate': 0.0009582851699837007, 'epoch': 6.55}
{'loss': 0.5881, 'learning_rate': 0.0009574322320517328, 'epoch': 6.62}
{'loss': 0.5873, 'learning_rate': 0.0009565710496559412, 'epoch': 6.69}
{'loss': 0.5687, 'learning_rate': 0.0009557016383177226, 'epoch': 6.76}
{'loss': 0.5896, 'learning_rate': 0.0009548240137067867, 'epoch': 6.82}
{'loss': 0.6158, 'learning_rate': 0.0009539381916408742, 'epoch': 6.89}
{'loss': 0.5854, 'learning_rate': 0.000953044188085471, 'epoch': 6.96}
{'eval_loss': 0.3600523769855499, 'eval_accuracy': 0.9004356435643565, 'eval_runtime': 200.4497, 'eval_samples_per_second': 125.967, 'eval_steps_per_second': 0.988, 'epoch': 7.0}
{'loss': 0.5809, 'learning_rate': 0.0009521420191535213, 'epoch': 7.03}
{'loss': 0.5874, 'learning_rate': 0.0009512317011051368, 'epoch': 7.09}
{'loss': 0.5566, 'learning_rate': 0.0009503132503473032, 'epoch': 7.16}
{'loss': 0.5531, 'learning_rate': 0.0009493866834335853, 'epoch': 7.23}
{'loss': 0.551, 'learning_rate': 0.0009484520170638285, 'epoch': 7.3}
{'loss': 0.5449, 'learning_rate': 0.0009475092680838566, 'epoch': 7.36}
{'loss': 0.5824, 'learning_rate': 0.0009465584534851703, 'epoch': 7.43}
{'loss': 0.5855, 'learning_rate': 0.0009455995904046391, 'epoch': 7.5}
{'loss': 0.5791, 'learning_rate': 0.0009446326961241935, 'epoch': 7.57}
{'loss': 0.5625, 'learning_rate': 0.0009436577880705128, 'epoch': 7.64}
{'loss': 0.592, 'learning_rate': 0.0009426748838147119, 'epoch': 7.7}
{'loss': 0.5518, 'learning_rate': 0.0009416840010720236, 'epoch': 7.77}
{'loss': 0.579, 'learning_rate': 0.00094068515770148, 'epoch': 7.84}
{'loss': 0.5812, 'learning_rate': 0.0009396783717055906, 'epoch': 7.91}
{'loss': 0.6029, 'learning_rate': 0.0009386636612300174, 'epoch': 7.97}
{'eval_loss': 0.35438448190689087, 'eval_accuracy': 0.8994851485148515, 'eval_runtime': 177.4846, 'eval_samples_per_second': 142.266, 'eval_steps_per_second': 1.116, 'epoch': 8.0}
{'loss': 0.5423, 'learning_rate': 0.0009376410445632484, 'epoch': 8.04}
{'loss': 0.5858, 'learning_rate': 0.0009366105401362675, 'epoch': 8.11}
{'loss': 0.5481, 'learning_rate': 0.0009355721665222221, 'epoch': 8.18}
{'loss': 0.5162, 'learning_rate': 0.0009345259424360896, 'epoch': 8.24}
{'loss': 0.5413, 'learning_rate': 0.000933471886734339, 'epoch': 8.31}
{'loss': 0.5328, 'learning_rate': 0.0009324100184145908, 'epoch': 8.38}
{'loss': 0.5488, 'learning_rate': 0.0009313403566152755, 'epoch': 8.45}
{'loss': 0.5576, 'learning_rate': 0.0009302629206152882, 'epoch': 8.51}
{'loss': 0.5695, 'learning_rate': 0.000929177729833641, 'epoch': 8.58}
{'loss': 0.5519, 'learning_rate': 0.0009280848038291136, 'epoch': 8.65}
{'loss': 0.5362, 'learning_rate': 0.0009269841622999002, 'epoch': 8.72}
{'loss': 0.5494, 'learning_rate': 0.0009258758250832543, 'epoch': 8.78}
{'loss': 0.5311, 'learning_rate': 0.0009247598121551319, 'epoch': 8.85}
{'loss': 0.5275, 'learning_rate': 0.000923636143629831, 'epoch': 8.92}
{'loss': 0.5856, 'learning_rate': 0.0009225048397596289, 'epoch': 8.99}
{'eval_loss': 0.3489181697368622, 'eval_accuracy': 0.9004356435643565, 'eval_runtime': 205.1011, 'eval_samples_per_second': 123.11, 'eval_steps_per_second': 0.965, 'epoch': 9.0}
{'loss': 0.5307, 'learning_rate': 0.0009213659209344181, 'epoch': 9.05}
{'loss': 0.5476, 'learning_rate': 0.0009202194076813373, 'epoch': 9.12}
{'loss': 0.5388, 'learning_rate': 0.0009190653206644026, 'epoch': 9.19}
{'loss': 0.5488, 'learning_rate': 0.0009179036806841352, 'epoch': 9.26}
{'loss': 0.5236, 'learning_rate': 0.0009167345086771853, 'epoch': 9.32}
{'loss': 0.5448, 'learning_rate': 0.000915557825715956, 'epoch': 9.39}
{'loss': 0.5384, 'learning_rate': 0.0009143736530082229, 'epoch': 9.46}
{'loss': 0.5007, 'learning_rate': 0.0009131820118967517, 'epoch': 9.53}
{'loss': 0.5532, 'learning_rate': 0.0009119829238589144, 'epoch': 9.59}
{'loss': 0.5353, 'learning_rate': 0.0009107764105063008, 'epoch': 9.66}
{'loss': 0.53, 'learning_rate': 0.0009095624935843305, 'epoch': 9.73}
{'loss': 0.5639, 'learning_rate': 0.0009083411949718596, 'epoch': 9.8}
{'loss': 0.5323, 'learning_rate': 0.0009071125366807879, 'epoch': 9.86}
{'loss': 0.531, 'learning_rate': 0.0009058765408556604, 'epoch': 9.93}
{'loss': 0.5412, 'learning_rate': 0.0009046332297732697, 'epoch': 10.0}
{'eval_loss': 0.34611567854881287, 'eval_accuracy': 0.900950495049505, 'eval_runtime': 183.4167, 'eval_samples_per_second': 137.665, 'eval_steps_per_second': 1.08, 'epoch': 10.0}
{'loss': 0.5123, 'learning_rate': 0.0009033826258422536, 'epoch': 10.07}
{'loss': 0.5057, 'learning_rate': 0.0009021247516026915, 'epoch': 10.14}
{'loss': 0.5133, 'learning_rate': 0.0009008596297256984, 'epoch': 10.2}
{'loss': 0.5074, 'learning_rate': 0.0008995872830130159, 'epoch': 10.27}
{'loss': 0.503, 'learning_rate': 0.000898307734396601, 'epoch': 10.34}
{'loss': 0.5516, 'learning_rate': 0.0008970210069382141, 'epoch': 10.41}
{'loss': 0.5131, 'learning_rate': 0.0008957271238290014, 'epoch': 10.47}
{'loss': 0.4953, 'learning_rate': 0.0008944261083890786, 'epoch': 10.54}
{'loss': 0.5133, 'learning_rate': 0.0008931179840671097, 'epoch': 10.61}
{'loss': 0.5103, 'learning_rate': 0.0008918027744398849, 'epoch': 10.68}
{'loss': 0.4921, 'learning_rate': 0.0008904805032118947, 'epoch': 10.74}
{'loss': 0.5323, 'learning_rate': 0.0008891511942149038, 'epoch': 10.81}
{'loss': 0.5031, 'learning_rate': 0.0008878148714075215, 'epoch': 10.88}
{'loss': 0.5209, 'learning_rate': 0.0008864715588747687, 'epoch': 10.95}
{'eval_loss': 0.3399558663368225, 'eval_accuracy': 0.9041188118811881, 'eval_runtime': 193.4407, 'eval_samples_per_second': 130.531, 'eval_steps_per_second': 1.024, 'epoch': 11.0}
{'loss': 0.5247, 'learning_rate': 0.0008851212808276451, 'epoch': 11.01}
{'loss': 0.4586, 'learning_rate': 0.0008837640616026922, 'epoch': 11.08}
{'loss': 0.5168, 'learning_rate': 0.000882399925661555, 'epoch': 11.15}
{'loss': 0.4936, 'learning_rate': 0.0008810288975905403, 'epoch': 11.22}
{'loss': 0.4915, 'learning_rate': 0.0008796510021001754, 'epoch': 11.28}
{'loss': 0.4986, 'learning_rate': 0.0008782662640247603, 'epoch': 11.35}
{'loss': 0.5128, 'learning_rate': 0.000876874708321922, 'epoch': 11.42}
{'loss': 0.4807, 'learning_rate': 0.0008754763600721641, 'epoch': 11.49}
{'loss': 0.5001, 'learning_rate': 0.000874071244478414, 'epoch': 11.55}
{'loss': 0.4961, 'learning_rate': 0.0008726593868655704, 'epoch': 11.62}
{'loss': 0.5209, 'learning_rate': 0.0008712408126800449, 'epoch': 11.69}
{'loss': 0.5032, 'learning_rate': 0.0008698155474893049, 'epoch': 11.76}
{'loss': 0.4923, 'learning_rate': 0.0008683836169814116, 'epoch': 11.82}
{'loss': 0.5264, 'learning_rate': 0.000866945046964558, 'epoch': 11.89}
{'loss': 0.4984, 'learning_rate': 0.0008654998633666032, 'epoch': 11.96}
{'eval_loss': 0.3367544412612915, 'eval_accuracy': 0.9036435643564357, 'eval_runtime': 182.9686, 'eval_samples_per_second': 138.002, 'eval_steps_per_second': 1.082, 'epoch': 12.0}
{'loss': 0.4752, 'learning_rate': 0.0008640480922346052, 'epoch': 12.03}
{'loss': 0.4693, 'learning_rate': 0.0008625897597343515, 'epoch': 12.09}
{'loss': 0.4983, 'learning_rate': 0.0008611248921498875, 'epoch': 12.16}
{'loss': 0.4849, 'learning_rate': 0.0008596535158830427, 'epoch': 12.23}
{'loss': 0.4761, 'learning_rate': 0.000858175657452955, 'epoch': 12.3}
{'loss': 0.4798, 'learning_rate': 0.0008566913434955925, 'epoch': 12.36}
{'loss': 0.4937, 'learning_rate': 0.0008552006007632734, 'epoch': 12.43}
{'loss': 0.4864, 'learning_rate': 0.0008537034561241846, 'epoch': 12.5}
{'loss': 0.4623, 'learning_rate': 0.000852199936561896, 'epoch': 12.57}
{'loss': 0.4885, 'learning_rate': 0.0008506900691748758, 'epoch': 12.64}
{'loss': 0.4909, 'learning_rate': 0.000849173881176001, 'epoch': 12.7}
{'loss': 0.4952, 'learning_rate': 0.000847651399892067, 'epoch': 12.77}
{'loss': 0.4927, 'learning_rate': 0.0008461226527632956, 'epoch': 12.84}
{'loss': 0.4915, 'learning_rate': 0.00084458766734284, 'epoch': 12.91}
{'loss': 0.4668, 'learning_rate': 0.0008430464712962884, 'epoch': 12.97}
{'eval_loss': 0.34051600098609924, 'eval_accuracy': 0.9012673267326733, 'eval_runtime': 190.8411, 'eval_samples_per_second': 132.309, 'eval_steps_per_second': 1.038, 'epoch': 13.0}
{'loss': 0.4855, 'learning_rate': 0.0008414990924011656, 'epoch': 13.04}
{'loss': 0.4484, 'learning_rate': 0.0008399455585464316, 'epoch': 13.11}
{'loss': 0.4782, 'learning_rate': 0.0008383858977319796, 'epoch': 13.18}
{'loss': 0.4732, 'learning_rate': 0.0008368201380681314, 'epoch': 13.24}
{'loss': 0.473, 'learning_rate': 0.0008352483077751303, 'epoch': 13.31}
{'loss': 0.4667, 'learning_rate': 0.0008336704351826326, 'epoch': 13.38}
{'loss': 0.4726, 'learning_rate': 0.0008320865487291973, 'epoch': 13.45}
{'loss': 0.5042, 'learning_rate': 0.0008304966769617734, 'epoch': 13.51}
{'loss': 0.5002, 'learning_rate': 0.0008289008485351854, 'epoch': 13.58}
{'loss': 0.4683, 'learning_rate': 0.0008272990922116166, 'epoch': 13.65}
{'loss': 0.4683, 'learning_rate': 0.0008256914368600908, 'epoch': 13.72}
{'loss': 0.4957, 'learning_rate': 0.0008240779114559523, 'epoch': 13.78}
{'loss': 0.4738, 'learning_rate': 0.0008224585450803435, 'epoch': 13.85}
{'loss': 0.4662, 'learning_rate': 0.0008208333669196804, 'epoch': 13.92}
{'loss': 0.4542, 'learning_rate': 0.0008192024062651271, 'epoch': 13.99}
{'eval_loss': 0.34228619933128357, 'eval_accuracy': 0.9024950495049505, 'eval_runtime': 181.3285, 'eval_samples_per_second': 139.25, 'eval_steps_per_second': 1.092, 'epoch': 14.0}
{'loss': 0.4542, 'learning_rate': 0.0008175656925120676, 'epoch': 14.05}
{'loss': 0.4527, 'learning_rate': 0.0008159232551595761, 'epoch': 14.12}
{'loss': 0.4418, 'learning_rate': 0.0008142751238098854, 'epoch': 14.19}
{'loss': 0.4663, 'learning_rate': 0.0008126213281678527, 'epoch': 14.26}
{'loss': 0.4727, 'learning_rate': 0.0008109618980404251, 'epoch': 14.32}
{'loss': 0.4618, 'learning_rate': 0.0008092968633361022, 'epoch': 14.39}
{'loss': 0.437, 'learning_rate': 0.0008076262540643968, 'epoch': 14.46}
{'loss': 0.4397, 'learning_rate': 0.0008059501003352939, 'epoch': 14.53}
{'loss': 0.4626, 'learning_rate': 0.0008042684323587083, 'epoch': 14.59}
{'loss': 0.4392, 'learning_rate': 0.0008025812804439401, 'epoch': 14.66}
{'loss': 0.456, 'learning_rate': 0.0008008886749991287, 'epoch': 14.73}
{'loss': 0.4801, 'learning_rate': 0.0007991906465307035, 'epoch': 14.8}
{'loss': 0.4435, 'learning_rate': 0.000797487225642836, 'epoch': 14.86}
{'loss': 0.439, 'learning_rate': 0.0007957784430368866, 'epoch': 14.93}
{'loss': 0.4724, 'learning_rate': 0.000794064329510852, 'epoch': 15.0}
{'eval_loss': 0.33582401275634766, 'eval_accuracy': 0.9028514851485149, 'eval_runtime': 174.4789, 'eval_samples_per_second': 144.717, 'eval_steps_per_second': 1.135, 'epoch': 15.0}
{'loss': 0.4478, 'learning_rate': 0.00079234491595881, 'epoch': 15.07}
{'loss': 0.4388, 'learning_rate': 0.0007906202333703628, 'epoch': 15.14}
{'loss': 0.4469, 'learning_rate': 0.0007888903128300779, 'epoch': 15.2}
{'loss': 0.4629, 'learning_rate': 0.0007871551855169287, 'epoch': 15.27}
{'loss': 0.4478, 'learning_rate': 0.0007854148827037318, 'epoch': 15.34}
{'loss': 0.4548, 'learning_rate': 0.0007836694357565839, 'epoch': 15.41}
{'loss': 0.4536, 'learning_rate': 0.000781918876134296, 'epoch': 15.47}
{'loss': 0.4429, 'learning_rate': 0.0007801632353878272, 'epoch': 15.54}
{'loss': 0.4349, 'learning_rate': 0.0007784025451597148, 'epoch': 15.61}
{'loss': 0.4639, 'learning_rate': 0.0007766368371835051, 'epoch': 15.68}
{'loss': 0.4714, 'learning_rate': 0.000774866143283181, 'epoch': 15.74}
{'loss': 0.444, 'learning_rate': 0.0007730904953725888, 'epoch': 15.81}
{'loss': 0.4631, 'learning_rate': 0.000771309925454862, 'epoch': 15.88}
{'loss': 0.4505, 'learning_rate': 0.0007695244656218456, 'epoch': 15.95}
{'eval_loss': 0.3393154442310333, 'eval_accuracy': 0.9025346534653466, 'eval_runtime': 173.6582, 'eval_samples_per_second': 145.401, 'eval_steps_per_second': 1.14, 'epoch': 16.0}
{'loss': 0.4502, 'learning_rate': 0.0007677341480535175, 'epoch': 16.01}
{'loss': 0.4578, 'learning_rate': 0.000765939005017408, 'epoch': 16.08}
{'loss': 0.4256, 'learning_rate': 0.0007641390688680182, 'epoch': 16.15}
{'loss': 0.4197, 'learning_rate': 0.0007623343720462379, 'epoch': 16.22}
{'loss': 0.4448, 'learning_rate': 0.0007605249470787597, 'epoch': 16.28}
{'loss': 0.4322, 'learning_rate': 0.0007587108265774933, 'epoch': 16.35}
{'loss': 0.445, 'learning_rate': 0.000756892043238978, 'epoch': 16.42}
{'loss': 0.4047, 'learning_rate': 0.0007550686298437928, 'epoch': 16.49}
{'loss': 0.4548, 'learning_rate': 0.0007532406192559656, 'epoch': 16.55}
{'loss': 0.4524, 'learning_rate': 0.0007514080444223819, 'epoch': 16.62}
{'loss': 0.4553, 'learning_rate': 0.0007495709383721893, 'epoch': 16.69}
{'loss': 0.4501, 'learning_rate': 0.0007477293342162038, 'epoch': 16.76}
{'loss': 0.4621, 'learning_rate': 0.0007458832651463122, 'epoch': 16.82}
{'loss': 0.4336, 'learning_rate': 0.0007440327644348738, 'epoch': 16.89}
{'loss': 0.4349, 'learning_rate': 0.0007421778654341215, 'epoch': 16.96}
{'eval_loss': 0.33765509724617004, 'eval_accuracy': 0.9040792079207921, 'eval_runtime': 171.9315, 'eval_samples_per_second': 146.861, 'eval_steps_per_second': 1.152, 'epoch': 17.0}
{'loss': 0.4371, 'learning_rate': 0.0007403186015755594, 'epoch': 17.03}
{'loss': 0.3929, 'learning_rate': 0.0007384550063693615, 'epoch': 17.09}
{'loss': 0.4313, 'learning_rate': 0.0007365871134037671, 'epoch': 17.16}
{'loss': 0.4117, 'learning_rate': 0.0007347149563444753, 'epoch': 17.23}
{'loss': 0.4215, 'learning_rate': 0.0007328385689340389, 'epoch': 17.3}
{'loss': 0.4322, 'learning_rate': 0.0007309579849912555, 'epoch': 17.36}
{'loss': 0.423, 'learning_rate': 0.0007290732384105587, 'epoch': 17.43}
{'loss': 0.449, 'learning_rate': 0.000727184363161406, 'epoch': 17.5}
{'loss': 0.4379, 'learning_rate': 0.0007252913932876684, 'epoch': 17.57}
{'loss': 0.4198, 'learning_rate': 0.0007233943629070148, 'epoch': 17.64}
{'loss': 0.4018, 'learning_rate': 0.000721493306210299, 'epoch': 17.7}
{'loss': 0.4275, 'learning_rate': 0.0007195882574609416, 'epoch': 17.77}
{'loss': 0.4107, 'learning_rate': 0.000717679250994314, 'epoch': 17.84}
{'loss': 0.4702, 'learning_rate': 0.0007157663212171186, 'epoch': 17.91}
{'loss': 0.4315, 'learning_rate': 0.0007138495026067696, 'epoch': 17.97}
{'eval_loss': 0.33093178272247314, 'eval_accuracy': 0.9058217821782178, 'eval_runtime': 175.5012, 'eval_samples_per_second': 143.874, 'eval_steps_per_second': 1.128, 'epoch': 18.0}
{'loss': 0.4285, 'learning_rate': 0.0007119288297107703, 'epoch': 18.04}
{'loss': 0.4268, 'learning_rate': 0.0007100043371460915, 'epoch': 18.11}
{'loss': 0.4205, 'learning_rate': 0.0007080760595985471, 'epoch': 18.18}
{'loss': 0.4234, 'learning_rate': 0.0007061440318221697, 'epoch': 18.24}
{'loss': 0.411, 'learning_rate': 0.0007042082886385825, 'epoch': 18.31}
{'loss': 0.4264, 'learning_rate': 0.0007022688649363737, 'epoch': 18.38}
{'loss': 0.4182, 'learning_rate': 0.0007003257956704667, 'epoch': 18.45}
{'loss': 0.4042, 'learning_rate': 0.00069837911586149, 'epoch': 18.51}
{'loss': 0.4341, 'learning_rate': 0.0006964288605951458, 'epoch': 18.58}
{'loss': 0.4219, 'learning_rate': 0.0006944750650215788, 'epoch': 18.65}
{'loss': 0.4267, 'learning_rate': 0.0006925177643547415, 'epoch': 18.72}
{'loss': 0.419, 'learning_rate': 0.0006905569938717602, 'epoch': 18.78}
{'loss': 0.3968, 'learning_rate': 0.0006885927889122984, 'epoch': 18.85}
{'loss': 0.3995, 'learning_rate': 0.0006866251848779208, 'epoch': 18.92}
{'loss': 0.4067, 'learning_rate': 0.0006846542172314551, 'epoch': 18.99}
{'eval_loss': 0.335292786359787, 'eval_accuracy': 0.9033267326732674, 'eval_runtime': 174.3841, 'eval_samples_per_second': 144.795, 'eval_steps_per_second': 1.135, 'epoch': 19.0}
{'loss': 0.3839, 'learning_rate': 0.0006826799214963519, 'epoch': 19.05}
{'loss': 0.3759, 'learning_rate': 0.0006807023332560457, 'epoch': 19.12}
